ok  	github.com/sanyokkua/go_mark_edit/internal/apperr	0.233s	coverage: 73.7% of statements
ok  	github.com/sanyokkua/go_mark_edit/internal/application	0.532s	coverage: 63.8% of statements
ok  	github.com/sanyokkua/go_mark_edit/internal/appmodel	1.575s	coverage: 76.6% of statements
ok  	github.com/sanyokkua/go_mark_edit/internal/bootstrap	(cached)	coverage: 83.3% of statements
ok  	github.com/sanyokkua/go_mark_edit/internal/db	(cached)	coverage: 65.1% of statements
	github.com/sanyokkua/go_mark_edit/internal/db/store		coverage: 0.0% of statements
ok  	github.com/sanyokkua/go_mark_edit/internal/file	1.261s	coverage: 69.2% of statements
ok  	github.com/sanyokkua/go_mark_edit/internal/gate	(cached)	coverage: 100.0% of statements
ok  	github.com/sanyokkua/go_mark_edit/internal/logging	(cached)	coverage: 69.4% of statements
ok  	github.com/sanyokkua/go_mark_edit/internal/settings	0.709s	coverage: 74.4% of statements
ok  	github.com/sanyokkua/go_mark_edit	5.302s	coverage: 25.5% of statements
